s3_image_path,s3_resized_image_path,s3_mask_path,caption,a1,a2,a3,a4
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000077.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000077.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000077.png,Products placed on a pick background.,this image may contain cosmetics and lipstick,several different shades of lipstick are lined up on a pink surface,a bunch of lipsticks on a pink background,a group of lipsticks on a pink background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000078.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000078.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000078.png,A product placed on the corner of blue table with sky as a background.,a bottle of sunscreen on a blue background with a blue sky in the background.,there is a bottle of sunscreen sitting on a table with a blue sky in the background,a bottle of sunscreen on a blue background,a bottle of nivea sun lotion on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000079.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000079.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000079.png,Products placed on white cubes with a light blue background.,nivea products on a blue background,there is a variety of nivea products displayed on a table,a display of nivea products on a blue background,a display of various nivea products
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000080.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000080.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000080.png,Products held in hand placed over a blue background with heart stickers flying around.,three hands holding bottles of beauty products on a blue background.,three hands holding nive body care products on a blue surface with confetti confetti,a group of people holding bottles of lotions and shampoos,hands holding bottles of nivea products on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000081.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000081.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000081.png,Products placed on a colourful surface with a wave pattern.,this image may contain advertisement poster flyer paper brochure and flyer,several different types of skin care products sitting on a colorful surface,a bunch of different types of creams sitting on top of each other,four different types of nivea creams on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000082.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000082.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000082.png,"Products placed on orange, pink, red and blue coloured cubes of different heights with coloured background.",this image may contain advertisement poster brochure paper and flyer,three nivex body butters on a colorful pedestal in front of a multi - colored background,three tubs of nivea creams sit on colorful blocks,four different types of nivea creams on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000083.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000083.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000083.png,Products placed on a table with yellow background with some  gold rings on the the table.,a bottle of nivea body lotion,two bottles of nivea body lotion sitting on a table next to a vase of flowers,a couple of bottles of lotion on a table,two bottles of nivea facial cleanser side by side
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000084.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000084.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000084.png,Products placed on a plate and on a tables with two to three full pink roses spread over.,the body shop nivea body lotion and aloe vera gel,there are two bottles of nive hand sanitizer on a plate next to pink roses,two bottles of nivea products on a plate next to pink flowers,two bottles of nivea face wash on a plate
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000085.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000085.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000085.png,Products placed on pink stairs with blue background surrounded with red colour heart stickers.,this image may contain bottle cosmetics and lotion,there is a bottle of nivex on a pink surface next to other bottles of nive,bottles of nivea products on a pink background,several bottles of nivea products on a pink table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000086.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000086.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000086.png,A product held in hand on a green background with a small splash of  transparent gel on the hand.,this image may contain bottle and cosmetics,someone is holding a bottle of hand sanitizer with aloe vera on it,a person holding up a bottle of lotion,a person holding up a bottle of nivea aloe vera lotion
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000087.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000087.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000087.png,A product placed on a circular white background with pink rose on the side.,this image may contain plant flower blossom flower blossom and blossom,there is a white plate with a bottle of body lotion and a pink rose on it,a bottle of nivea lotion on a plate next to a flower,a bottle of nivea facial cleanser on a plate
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000088.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000088.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000088.png,Products placed on edge of a white cube with water splashing off the top with sky as a background.,a bottle of nivea body lotion,there are two bottles of nivex on a ledge with water splashing on them,two bottles of nivea body gel sitting on top of water,two bottles of nivea facial cleanser next to each other
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000089.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000089.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000089.png,A  product placed on a green wavy background with aloe vera on side,this image may contain bottle and cosmetics,there is a bottle of nivex on a table next to an aloe vera leaf,a bottle of nivea aloe vera gel next to an aloe leaf,a bottle of nivea aloe vera lotion on a green background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000090.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000090.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000090.png,A product placed on a bluish watery background with roses floating on the sides.,this image may contain bottle and cosmetics,there is a bottle of body lotion next to a pink rose on a blue surface,a bottle of nivea body lotion next to two pink roses,a bottle of nivea body lotion next to two pink roses
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000091.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000091.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000091.png,"Products placed on white ceramic plate with drinking glasses, gold rings and leaf shadows around it.",a bottle of nivea body lotion,there are two bottles of nivex on a plate next to a glass of water,two bottles of nivea body lotion sit on a plate,two bottles of nivea body lotion on a plate
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000092.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000092.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000092.png,Products placed on a white cube with blue sky background with water splashing at the top.,a bottle of nivea body lotion with a splash of water on a blue background.,there are two bottles of nive gel on a table with water splashing out of them,a bottle of nivea body lotion and another bottle of nivea body lotion,two bottles of nivea facial cleanser in front of a blue sky
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000093.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000093.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000093.png,"A product placed on white clothy background with sunglasses, gold rings and leaf shadows around it.",this image may contain sunglasses accessories accessory and bottle,there is a bottle of lotion and sunglasses on a bed,a bottle of nivea body lotion next to a pair of sunglasses and a straw hat,"a bottle of sunscreen, sunglasses and a straw hat"
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000094.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000094.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000094.png,A product placed on a wavy green background with aloe vera on sides.,a bottle of nivea body lotion,there is a bottle of nivea fresh and healthy aloe vera lotion next to a,a bottle of nivea body lotion next to an aloe plant,nivea aloe vera body lotion
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000095.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000095.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000095.png,A product placed on a green background with aloe vera on sides.,this image may contain bottle and shaker,there is a bottle of body lotion with aloe vera on a shelf,a bottle of nivea body lotion next to an aloe plant,a bottle of nivea aloe vera face wash
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000096.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000096.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000096.png,A product placed on a green background with water splashing on it.,a bottle of nivea body lotion,there is a bottle of nivea body lotion with water splashing on it,a bottle of nivea body lotion splashing in the water,a bottle of nivea water splashing on the ground
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000097.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000097.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000097.png,A product held in hand placed on a light green background.,this image may contain bottle and cosmetics,there is a person holding a bottle of body lotion with aloe vera on it,a person holding up a bottle of nivea body lotion,a person holding up a bottle of nivea body wash
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000098.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000098.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000098.png,A product placed on a circular white background with pink rose on the side.,this image may contain plant flower blossom flower blossom and blossom,there is a bottle of nivex body lotion on a plate next to a pink rose,a bottle of nivea body lotion next to a rose,a bottle of nivea facial cleanser next to pink roses
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000099.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000099.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000099.png,Products placed on edge of a white cube with water splashing off the top with sky as a background.,a bottle of nivea body lotion,there are two bottles of nivea body lotion on a ledge,a bottle of nivea gel body lotion and another bottle of nivea gel body lotion,two bottles of nivea body lotion sitting next to each other
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000100.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000100.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000100.png,product placed on table surrounded by gift boxes with christmas tree in the background,a selection of nivea body wash and body wash products.,"bottles of nive's body wash, lotion, and lotion on a table with",a display of nivea products in front of a christmas tree,a collection of nivea products on a christmas tree
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000101.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000101.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000101.png,product placed on a box surrounded by streamers with blue room in the background,this image may contain bottle cosmetics and deodorant,there are many different types of skin care products displayed on a table,a bunch of bottles of lotion on a blue background,a bunch of nivea bottles sitting on top of each other
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000102.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000102.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000102.png,product placed on a table surrounded by disco ball with blue background,a collection of skin care products.,bottles of nivex on a table next to a disco ball and a mirror ball,a display of nivea products with a disco ball in the background,a collection of nivea products on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000103.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000103.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000103.png,product placed on a mirror surrounded by gold bangles and a gold mirror in the background,a collection of beauty products.,there is a woman holding a bottle of nive hand sanitizer next to some other items,a woman's hand holding a bottle of nivea lotion,a woman's hand is touching several bottles of nivea products
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000104.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000104.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000104.png,product placed on a table surrounded by gold objects with a blurry background,a selection of skin care products,there is a bottle of nivex on a table next to other items,a bunch of different kinds of lotions on a table,a collection of nivea beauty products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000105.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000105.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000105.png,product placed on colored boxes with a tricolor background,a range of products on a green and white background.,there are three bottles of nivex and a bottle of lotion on a table,a group of bottles of lotions and shampoos on a table,several bottles of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000106.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000106.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000106.png,product placed on different levels with white background,this image may contain bottle cosmetics and deodorant,there are three bottles of nive hand sanitizer on a stand,a display of different bottles of lotion on a table,a display of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000107.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000107.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000107.png,product placed on transparent glass surrounded by other products with tiles in the background,a hand reaches for a bottle of shampoo in a shower.,there is a person holding a bottle of nive hand sanitizer next to three bottles of,a person holding a bottle of nivea body wash,four bottles of nivea shower gel on a shelf
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000108.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000108.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000108.png,product placed on table surrounded by cream with a half blue and half white background,this image may contain bottle cosmetics and sunscreen,there are three bottles of nive baby lotion on a blue surface,three bottles of lotion sit on top of a blue surface,three bottles of nivea lotion on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000109.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000109.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000109.png,product placed on white boxes on top of blue table with light blue background,this image may contain bottle and cosmetics,three bottles of nive baby lotion sitting on a blue surface,a group of bottles of baby lotion on a blue background,six bottles of baby lotion on a blue table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000110.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000110.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000110.png,product placed on 2 grey boxes surrounded by grey ribbon with blue background,this image may contain cosmetics and bottle,this is a picture of a bottle of nive soft on top of a gift box,a bottle of nivea soft soap sitting on top of some confetti,a bottle of nivea soap sitting on top of a box
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000111.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000111.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000111.png,product placed on a table surrounded by silver ornaments placed on top of blue table,soft cream in a jar and a clutch on a blue background.,there is a bottle of nive soft cream next to a purse and a chain on a blue,a bottle of lotion and jewelry on a blue table,a jar of face cream sitting next to a purse and jewelry
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000112.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000112.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000112.png,product placed on a transparent slab on a white table with blue background,a collection of face wash products.,three bottles of nivex on a white shelf with blue and white bubbles in the background,a bunch of bottles of lotion sitting on top of a pedestal,several bottles of nivea lotion on a white pedestal
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000113.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000113.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000113.png,product placed on a pink silky cloth with creamy white coloured background,nivea perfumes on a pink background.,two deodorant deodorant deodorant deodorant deod,three bottles of nivea products on a pink background,three bottles of nivea deodorant on a pink cloth
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000114.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000114.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000114.png,product placed on a table with golden and bright background,nivea all natural body lotion,there are three bottles of nivea on a table with gold lights in the background,three bottles of nivea on a gold background,four bottles of nivea lotion on a gold background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000115.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000115.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000115.png,product placed on gift boxes with bright golden background,a gift box with a gift box containing a variety of body lotion and body lotion.,this is an image of a gift box with a lot of products on it,a bunch of products sitting on top of a blue box,a bunch of different nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000116.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000116.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000116.png,product placed on blue platform surrounded by whtie twinkle lights in blue background,this image may contain bottle and cosmetics,there are several different types of skin care products displayed on a blue pedestal,a display of different types of nivea products,four bottles of nivea products on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000117.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000117.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000117.png,product placed on a blue table surrounded by tri color stripes of orange white and green,a variety of products on a blue background.,"there is a toothbrush, toothpaste, toothpaste and toothpaste on a","a bottle of lotion, a tube of toothpaste, and a tube of deodorant on a blue background",three bottles of nivea products on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000118.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000118.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000118.png,product placed on colored boxes with blue background,this image may contain bottle and cosmetics,there is a bottle of nivex and a container of lotion on top of a shelf,a bunch of different products sitting on top of each other,a collection of nivea skin care products
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000119.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000119.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000119.png,product placed on a table surrounded by peal necklace and silk cloth with golden background,this image may contain cosmetics and bottle,"there is a purse, a handbag, a pair of shoes, a handbag, and","a table with various items on it, including a pair of shoes and a bottle of lotion",a collection of cosmetics and jewelry on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000120.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000120.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000120.png,product placed on gold plate surrounded by ornaments with golden background,this image may contain cosmetics and bottle,there are a lot of items that are sitting on a table,a table with bottles of lotion and other items,a bottle of nivea lotion sitting next to some jewelry
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000121.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000121.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000121.png,product placed on a table surrounded by pink hearts on top with blue background,a jar of salt with hearts floating around it.,there is a bottle of deodorant on a blue surface with hearts coming out of it,a tube of toothpaste with pink hearts floating around it,a bottle of lotion with pink hearts coming out of it
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000122.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000122.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000122.png,product placed on pink cylinder surrounded by hearts with blue background,a bottle of face wash with pink flowers in the background.,this is an image of a bottle of face wash on a pink pedestal,a bottle of nivea face wash sitting on top of a pink vase,a bottle of nivea lotion sitting on top of a pink heart
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000123.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000123.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000123.png,product placed on pink cylinder surrounded by a pink hearts on blue background,nivea all natural body lotion,there are three bottles of nivea on a pink background,a display of nivea products on a pink background,three bottles of nivea lotion on a pink background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000124.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000124.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000124.png,product placed on pink cylinder surrounded by pink hearts on blue background,this image may contain cosmetics and deodorant,there is a bottle of deodorant next to a pink heart shaped box,a pink box with hearts on it and a bottle of deodorant,a bottle of nivea deodorant sitting on a pink heart
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000125.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000125.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000125.png,product placed on table surrounded by gift boxes with pink background,this image may contain cosmetics and bottle,there is a bottle of nivex on the table next to a pair of scissors and a,a pink background with various items on it,nivea products on a pink background with scissors
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000126.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000126.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000126.png,product placed on pink cylinder surrounded by light pink hearts with a blue background,this image may contain bottle cosmetics and deodorant,there is a group of nivea products sitting on a table,a variety of products are displayed on pink pedestals,several bottles of nivea products on a pink heart shaped stand
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000127.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000127.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000127.png,products placed on table and a hand holding one product surrounded by various colours on a blue background,a hand holding a bottle of holi sun lotion.,there is a person holding a bottle of baby lotion in front of a pile of colored powder,a person holding four bottles of lotion in front of colored powder,a child's hand holding four bottles of baby powder
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000128.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000128.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000128.png,"product placed on white marble surrounded by green, yellow, pink and violet colours with blue background",this image may contain advertisement poster flyer paper brochure and flyer,this is an image of a bottle of body wash on a colorful background,a bottle of lotion surrounded by colorful powder,a bottle of nivea is surrounded by colorful powder
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000129.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000129.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000129.png,product placed on a container with papers by a hand surrounded by other products with pink background,a woman's hand holding a bottle of hand lotion in front of a flower vase.,there is a person holding a bottle of nivex on top of a table,a pink table with a vase of flowers and a bottle of nivea lotion,a woman is putting some nivea products into a bucket
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000130.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000130.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000130.png,product placed on a table with various colour spread in the front with half blue and half pink background,a selection of products on a colorful background.,there is a variety of nive products sitting on a table,a variety of nivea products on a colorful background,a collection of nivea products on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000131.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000131.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000131.png,product placed on table with various colour spread in the front with half blue and half pink background and yellow and blue color flying on top,[ unused0 ]'s new brand is the world's most popular brand of skincare,there is a variety of nive products displayed on a table,a variety of nivea products sitting on a table,several bottles of nivea products on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000132.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000132.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000132.png,product placed on a table with various colours spread on the table,this image may contain advertisement poster flyer brochure paper brochure and flyer,nive soft body butter on a colorful surface with paint splatters,a container of nivea soft cream on a colorful background,a bottle of nivea soft on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000133.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000133.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000133.png,product held out by a hand with half blue and half pink background,this image may contain bottle shaker and cosmetics,there are two hands holding two bottles of hand sanitizer on a pink and blue background,two people holding up bottles of water in front of a colorful background,two hands holding up two bottles of nivea soap
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000134.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000134.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000134.png,product held out by a hand with half green and half pink background,this image may contain bottle shaker and cosmetics,someone is holding two bottles of nive hand sanitizer in front of a pink and green,two people holding up bottles of water in front of a colorful background,two hands holding up two bottles of nivea soap
